n_run,conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
7,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0108795166015625,0.00027823448181152344,0.0003914833068847656,0.0003361701965332031,0.2905430793762207,0.00033926963806152344,0.6017894744873047,0.00037384033203125,0.6014156341552734
7,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003552436828613281,0.0003376007080078125,0.0009789466857910156,0.0010173320770263672,0.36891674995422363,0.00038313865661621094,0.6559762954711914,0.0005328655242919922,0.6554434299468994
7,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00044083595275878906,0.00031280517578125,0.0034666061401367188,0.003459930419921875,0.28478384017944336,0.0006895065307617188,0.5962851047515869,0.0011990070343017578,0.5950860977172852
7,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00047278404235839844,0.0003139972686767578,0.008143424987792969,0.007544755935668945,0.29006338119506836,0.0013751983642578125,0.5911240577697754,0.00252532958984375,0.5885987281799316
7,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00039386749267578125,0.0003101825714111328,0.013199567794799805,0.013147115707397461,0.2756786346435547,0.002067089080810547,0.6038341522216797,0.00465703010559082,0.5991771221160889
8,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0015032291412353516,0.00031113624572753906,0.0007767677307128906,0.00021719932556152344,0.3707897663116455,0.00028705596923828125,0.6322999000549316,0.0003762245178222656,0.6319236755371094
8,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.007189035415649414,0.0003075599670410156,0.0006275177001953125,0.00037384033203125,0.3083536624908447,0.0002932548522949219,0.6363229751586914,0.00033736228942871094,0.6359856128692627
8,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.005528450012207031,0.0003197193145751953,0.0010318756103515625,0.0009572505950927734,0.31168293952941895,0.0003676414489746094,0.6112639904022217,0.00060272216796875,0.6106612682342529
8,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004546642303466797,0.0003414154052734375,0.0035355091094970703,0.0034637451171875,0.29686689376831055,0.0007193088531494141,0.6399424076080322,0.0011997222900390625,0.6387426853179932
8,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00041961669921875,0.00031256675720214844,0.007623195648193359,0.007658958435058594,0.28632283210754395,0.001477956771850586,0.6776788234710693,0.0024788379669189453,0.6751999855041504
8,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004127025604248047,0.00032329559326171875,0.014257431030273438,0.013764381408691406,0.32302188873291016,0.002189159393310547,0.6313540935516357,0.004849672317504883,0.6265044212341309
9,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004515647888183594,0.0002868175506591797,0.00024437904357910156,0.0001857280731201172,0.32415318489074707,0.0002694129943847656,0.6628761291503906,0.0003752708435058594,0.6625008583068848
9,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010922670364379883,0.00031065940856933594,0.00044608116149902344,0.0003731250762939453,0.3055877685546875,0.00029587745666503906,0.5783059597015381,0.0003609657287597656,0.5779449939727783
9,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0009613037109375,0.0002872943878173828,0.0011472702026367188,0.0010218620300292969,0.29257869720458984,0.0004360675811767578,0.6108832359313965,0.0005838871002197266,0.6102993488311768
9,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00043845176696777344,0.0002770423889160156,0.003418445587158203,0.003416776657104492,0.2863297462463379,0.0006957054138183594,0.5957667827606201,0.0012276172637939453,0.5945391654968262
9,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003771781921386719,0.00030875205993652344,0.007488727569580078,0.007509469985961914,0.2920403480529785,0.001413106918334961,0.6148207187652588,0.0024831295013427734,0.612337589263916
9,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00048041343688964844,0.0003094673156738281,0.013912439346313477,0.013641119003295898,0.32259607315063477,0.0022127628326416016,0.6565203666687012,0.00561976432800293,0.6509006023406982
10,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010908126831054688,0.0003120899200439453,0.0005505084991455078,0.0002200603485107422,0.3135182857513428,0.00026416778564453125,0.6240682601928711,0.00037860870361328125,0.6236896514892578
10,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0013899803161621094,0.0003731250762939453,0.0004057884216308594,0.0003898143768310547,0.32094359397888184,0.0003151893615722656,0.8782100677490234,0.00037407875061035156,0.8778359889984131
10,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004582405090332031,0.00029087066650390625,0.002524852752685547,0.0010437965393066406,0.3205149173736572,0.00039887428283691406,0.6624889373779297,0.0005197525024414062,0.6619691848754883
10,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003771781921386719,0.0003094673156738281,0.0036382675170898438,0.0034732818603515625,0.3043684959411621,0.0007016658782958984,0.6457512378692627,0.00509190559387207,0.6406593322753906
10,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.001615762710571289,0.0003657341003417969,0.008016586303710938,0.007761478424072266,0.2947714328765869,0.0015497207641601562,0.9100875854492188,0.002480745315551758,0.907606840133667
10,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004222393035888672,0.0003211498260498047,0.013296842575073242,0.013139486312866211,0.28667640686035156,0.0020971298217773438,0.6092946529388428,0.004693031311035156,0.6046016216278076
11,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0008480548858642578,0.0003361701965332031,0.00022602081298828125,0.0002384185791015625,0.31334924697875977,0.0003390312194824219,0.610856294631958,0.00033974647521972656,0.6105165481567383
11,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010614156723022461,0.0003368854522705078,0.0004165172576904297,0.0003972053527832031,0.33149075508117676,0.00032138824462890625,0.6363461017608643,0.0003714561462402344,0.635974645614624
11,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010764837265014648,0.0003476142883300781,0.0010294914245605469,0.0011360645294189453,0.35011768341064453,0.00043487548828125,0.6536641120910645,0.000667572021484375,0.6529965400695801
11,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00035762786865234375,0.0003116130828857422,0.003437519073486328,0.0034661293029785156,0.31502676010131836,0.0006961822509765625,0.6195857524871826,0.0012273788452148438,0.6183583736419678
11,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004744529724121094,0.0004305839538574219,0.00781393051147461,0.008194684982299805,0.3118596076965332,0.001538991928100586,0.6491067409515381,0.002577543258666992,0.6465291976928711
11,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00044608116149902344,0.00031757354736328125,0.013161182403564453,0.013532161712646484,0.2866237163543701,0.0021233558654785156,0.624891996383667,0.0047338008880615234,0.6201581954956055
