conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,voltage,current,power,aiclk,temp, iters
f16_m4,2048,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,385.6433911373455,316.0318657666147,3413.436525572797,3382.934909961858,709.3226240900776,664.6337994243396,5998.032201516789,0.7599700000000003,37.27,27.27,1000.0,50.265625,100
f16_m4,3072,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,818.5090213481342,270.6591096934589,7541.330639975749,7604.947121538928,1414.1489572481566,1367.687533952138,19225.938474746967,0.7600050000000002,38.93,28.53,1000.0,50.52854166666666,100
f16_m4,4096,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1439.8327856509907,410.89889505185954,13614.697605276466,13697.715506841536,2197.854118526434,2205.2688691477883,44529.46810054004,0.7599750000000003,39.0,29.0,1000.0,50.67239583333333,100
f16_m4,5120,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,800.111812846216,286.6165028576647,20802.35398640728,20789.823330054234,3028.1894222069573,3020.9782403586887,85896.84698000633,0.7599900000000003,39.0,29.0,1000.0,50.81885416666667,100
f16_m4,6144,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,710.2659782869482,316.7285975819593,30070.363061831922,30000.37094378944,4539.141182447309,4522.703126035355,147568.43932901302,0.7599800000000002,40.0,29.0,1000.0,50.91375,100
f16_m4,7168,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3055.2810164997627,289.1355298003771,40424.38178510336,40435.74758103808,5771.094517658135,5740.382893595087,232906.56545340954,0.7599700000000003,40.0,29.0,1000.0,51.07,100
f16_m4,256,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1688.513084653409,510.651896506159,633.5925009817803,393.5636175165679,616.5074774909633,393.02290948728046,481.6429624777425,0.7600000000000002,35.0,26.0,1000.0,50.184375,100
f16_m4,512,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,264.69643223241036,201.87229797575017,360.53325801582855,344.20729383292263,276.0571725716619,234.170235574505,348.92591955156314,0.7599800000000002,33.0,24.0,1000.0,40.3275,100
f16_m4,1024,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,312.0570580555676,246.84918801291758,991.0818108289079,958.7146621969949,372.4355601892677,350.54370270188633,720.6028839549389,0.7599700000000003,36.66,27.66,1000.0,50.1871875,100
f16_m4,2048,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,390.67642381630185,223.42464202360554,3421.042700696076,3375.264049608888,706.7938977727641,660.6777674368874,3315.467072200107,0.7599900000000003,38.98,28.0,1000.0,50.33625,100
f16_m4,3072,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,405.6176646318631,234.75556195849384,7502.962945518637,7572.359759777244,1387.9542746640443,1364.5937608062743,10117.207841903064,0.7599650000000002,39.0,28.0,1000.0,50.48354166666667,100
f16_m4,4096,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2892.3628995991958,320.09906100175544,13337.754438182701,13289.081992531255,2209.3498232468924,2129.2001315922435,23051.528964733425,0.7599600000000002,39.0,29.0,1000.0,50.551875,100
f16_m4,5120,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1024.6194793690972,297.81967505889736,20930.447499297934,20853.34655880861,3044.7388459423532,3011.294894765271,44052.06751364221,0.7599350000000002,39.9,29.0,1000.0,50.728125,100
f16_m4,6144,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2634.1582738737175,363.65546781142,29922.390794229097,30058.46059796638,4559.294778664857,4544.877880192651,75353.71424351081,0.7599800000000002,40.0,29.0,1000.0,50.9196875,100
f16_m4,7168,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,739.8549662475577,304.75075118134345,40607.64657688406,40422.46301689868,5771.774161078296,5739.778399415338,118703.33746547528,0.7599450000000004,40.0,29.57,1000.0,50.9403125,100
f16_m4,256,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1096.1143267643074,461.3419350004417,908.6909708159089,384.8643187572861,1032.9079730889082,458.4220329805172,623.1190094420513,0.7600000000000002,35.0,26.0,1000.0,49.841875,100
f16_m4,512,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,264.67105027715866,199.56269148990793,355.23269533485615,354.12667690928384,261.90495934882017,239.5727703344598,326.94549753171395,0.7599900000000003,35.0,26.0,1000.0,50.144375,100
f16_m4,1024,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,275.9421766506722,227.15618497914667,966.4300078102877,939.2205489111878,359.48504204189834,328.94902497257067,552.058291079617,0.75999,37.65,28.04,1000.0,50.126875,100
f16_m4,2048,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,378.40517330973,219.18418687554498,3411.2178749618884,3372.5005538570754,707.8577585846612,659.6114403262734,2053.8928038420695,0.7599900000000003,42.2,31.8,1000.0,50.265625,100
f16_m4,3072,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,406.09050987575876,234.08316088422595,7504.698845293203,7576.77818403348,1393.4829310796288,1362.4171853257383,5768.685985481879,0.7599700000000003,42.74,32.0,1000.0,50.311875,100
f16_m4,4096,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2205.0608482078433,379.17470464341113,14001.12507810835,13687.706837275407,2304.1606298975757,2187.453812172916,12718.09619196976,0.7599800000000002,42.945,32.0,1000.0,50.393125,100
f16_m4,5120,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1262.7779682929713,307.7544758715193,20899.36111532736,20909.069922372542,3055.011246388763,3012.8732483973095,23689.075747742194,0.7599800000000001,43.0,32.0,1000.0,50.58875,100
f16_m4,6144,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1005.767174939782,292.0398219137319,29643.859154110138,29617.116696404948,4503.34372340048,4482.531162146944,39990.06473847512,0.7599900000000003,43.005,32.0,1000.0,50.7571875,100
f16_m4,7168,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,594.9261643111242,298.2079760974778,40431.17385248873,40471.9001631635,5777.973155742649,5756.806924970828,64530.55275615733,0.7599450000000003,43.07833333333333,32.0,1000.0,50.84239583333333,100
f16_m4,256,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2146.116312411046,996.1889333422762,1281.177644158381,1075.3192000787021,1322.215319894736,531.761108759053,829.9727352373709,0.7600000000000002,35.0,26.0,1000.0,49.8246875,100
f16_m4,512,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3125.735211818873,1043.2223849936684,1295.4917447859234,1247.370655161877,1141.7115042180237,1096.4287951910426,946.6407081727374,0.7600000000000002,35.0,26.0,1000.0,49.94760416666666,100
f16_m4,1024,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1303.1565790299617,632.7923943791153,1575.650858276515,1296.9207668661884,903.9474478260785,677.4405616804762,716.7329241414051,0.7599800000000002,35.98,26.0,1000.0,49.92552083333334,100
f16_m4,2048,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3616.604546707718,683.7871333149977,4254.092476293794,3886.137046110857,1099.868237894122,1046.8153573429897,1564.6100527810208,0.7599900000000003,41.34,31.56,1000.0,50.180625,100
f16_m4,3072,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,445.0057202311644,271.93087794597153,7663.994024491096,7599.315981477778,1424.20317248999,1371.166190088947,3431.7005291811906,0.7599900000000003,42.56,33.06,1000.0,50.370625,100
f16_m4,4096,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1106.8882614747663,344.46858879643355,13595.08572969452,13492.383254312375,2178.7574478600654,2140.1101309645346,7174.022648869298,0.7599800000000002,42.96,33.17,1000.0,50.4853125,100
