conf,m,cores,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,voltage,current,power,aiclk,temp,iters
f16_m4,6144,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,425.6450969552585,264.0543452372779,29445.48975777884,29285.436360632324,4483.406619158469,4431.9276633844365,75234.6397650302,0.7599533333333305,40.56,29.963333333333335,1000.0,52.79145833333333,300
f16_m4,7168,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,432.75496257285846,263.68558262818044,40021.58116960552,39984.894577729916,5740.533123012949,5691.16436282111,118793.6954297551,0.7599599999999977,41.0,30.0,1000.0,52.954791666666665,300
f16_m4,256,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,212.72285387552904,203.24992059278338,176.17879290575905,167.24026363306248,232.5558848113849,210.07525909776297,292.85044729340353,0.7599866666666639,35.0,26.0,1000.0,51.815,300
f16_m4,512,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,240.5407766367901,216.6813538990859,337.58993508995815,338.79247197867676,267.10773931952707,236.07141691390535,316.5461298649292,0.7599933333333305,35.0,26.0,1000.0,51.8859375,300
f16_m4,1024,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,258.4613307007591,202.21414518179435,949.6999001766684,919.6606094466177,342.14119100119814,319.5769858462212,541.9222656822573,0.7599799999999972,39.48,28.84,1000.0,52.105625,300
f16_m4,2048,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,376.76587128886683,373.5376300781011,3417.6496063194427,3376.1172598150893,708.8177000343826,662.8408011814261,2054.0222118727957,0.7599899999999972,42.99333333333333,32.95,1000.0,52.372083333333336,300
f16_m4,3072,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,409.9987098786006,233.34706177658978,7501.6638143788405,7559.139309039325,1398.791146129482,1361.148842505946,5805.0696374115905,0.7599599999999973,43.005,33.0,1000.0,52.742604166666666,300
f16_m4,4096,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,416.91134700443854,254.2747023813186,13208.324328610539,13078.920258398015,2100.8373489399514,2058.0504270780834,12596.99427386681,0.7599733333333305,43.0,33.0,1000.0,52.8325,300
f16_m4,5120,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,419.5050240753508,258.04824106725584,20433.728133027584,20315.821280950946,3000.2697179570378,2956.8477242108534,23640.06953995789,0.7599366666666637,43.0,33.0,1000.0,52.9275,300
f16_m4,6144,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,425.1403226954658,265.05069801400253,29314.662651211976,29246.943262753983,4477.215893008939,4432.449299701131,39935.98950544203,0.759949999999997,43.005,33.0,1000.0,52.93322916666666,300
f16_m4,7168,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,411.39238425135153,263.48584133984554,40004.96763434587,39970.05673206651,5737.119920927252,5694.813997500888,64344.572817608525,0.7599366666666637,43.0,33.0,1000.0,52.9625,300
f16_m4,256,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,212.37477704781614,198.32825361663225,174.81457075579382,167.51998936059587,232.0814740185617,215.49585282540434,298.03645629489193,0.7599999999999972,35.0,26.0,1000.0,51.77979166666667,300
f16_m4,512,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,224.6843103007799,191.73258831911713,327.14730056237283,326.50573302390507,253.4346490498357,221.82804892079878,298.78701968539946,0.7599666666666639,35.836666666666666,26.41,1000.0,51.693645833333335,300
f16_m4,1024,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,273.109148755813,212.86575684404292,958.5748157460038,928.6128931364327,353.41816393277594,329.8891501796892,468.8885440656197,0.7599483333333306,41.77333333333333,31.346666666666668,1000.0,52.05173611111111,300
f16_m4,2048,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,345.38206205953395,217.5404283010597,3424.0440357776647,3377.2373078272344,701.7964657139082,650.7112226237947,1310.5632077179257,0.7599699999999973,43.0,33.95666666666666,1000.0,52.27368055555556,300
f16_m4,3072,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,410.1435692916234,230.3682642360514,7499.398613697877,7579.4321508437915,1394.595381624985,1362.802384472965,3425.5499023846455,0.7599866666666638,43.0,34.0,1000.0,52.52885416666667,300
f16_m4,4096,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,412.20367123586817,253.64553561426783,13223.62653382702,13082.214039448007,2105.855374959066,2058.962112236239,7123.2835206279615,0.7599633333333304,43.0,34.0,1000.0,52.767916666666665,300
f16_m4,5120,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,423.3396629928516,260.37747308052104,20509.439934274626,20403.79947203697,3004.8757315754942,2960.813988600175,12958.80889754698,0.7599799999999971,43.0,34.0,1000.0,52.79020833333333,300
f16_m4,6144,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,420.5034276472039,260.8759385415336,29313.22519150487,29247.68494041605,4471.718556923118,4435.121116035558,21554.85069875316,0.7599499999999971,43.0,34.0,1000.0,52.93770833333333,300
f16_m4,7168,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,443.2124903888891,259.5521154307362,39997.76701737819,39958.86782411441,5742.003800691326,5696.4303556739505,34588.661679970515,0.7599666666666639,43.0,34.0,1000.0,52.818333333333335,300
f16_m4,256,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,202.50670832459656,202.56683937524124,166.63793144205755,165.30956258477033,212.5925499516903,207.09625388417993,284.2366091990095,0.7599999999999972,35.0,26.0,1000.0,51.34854166666667,300
f16_m4,512,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,218.07087082061773,194.87635588991884,318.57644372840616,322.0144817705885,243.6691415947817,215.90042035983225,290.9671593249334,0.7598933333333304,35.913333333333334,26.64666666666667,1000.0,51.86284722222222,300
f16_m4,1024,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,262.3858498011541,214.07210855265032,955.9174151726421,926.4546303214198,346.35114578287374,323.36366193186177,438.0959326485027,0.7599644444444417,39.17,28.766666666666666,1000.0,51.819375,300
f16_m4,2048,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,351.0255552663303,200.6157385473446,3424.004558514898,3377.249025223006,684.9277050702304,647.7842117318697,989.1591103638289,0.7599833333333306,43.11666666666667,33.56333333333333,1000.0,52.25020833333333,300
f16_m4,3072,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,414.80919282904256,232.28943164311497,7501.1823302327175,7598.358297703358,1391.515174911417,1368.4484515620693,2303.4223565977445,0.7599633333333305,43.0,34.0,1000.0,52.55197916666667,300
f16_m4,4096,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,419.8056517313535,258.20189739113556,13226.474028418577,13095.80597699277,2103.0457277053156,2060.63098733508,4401.821958940015,0.7599866666666638,43.0,34.0,1000.0,52.764375,300
