conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m4,6144,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,950.4236120270182,347.1473156616033,30273.450384713644,30223.83233051342,4571.582437198653,4587.383873762614,15778.39226976956,100
f16_m4,7168,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,796.8547050830474,431.61031520992026,41517.67403020748,41417.50481464835,6104.181086991163,5835.0694460722525,23300.598532429274,100
f16_m4,5120,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,732.1400697519529,344.4263516511168,21507.77066817311,21323.628012242207,3110.110882704259,3097.469052974943,7913.182434603542,100
f16_m4,6144,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1025.5781132962059,355.67270050529,31065.824217040295,30867.21128156064,4583.554329023422,4590.505190508613,12858.63147799157,100
f16_m4,7168,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1013.6127574819814,365.59861858041506,41350.319977995976,41429.02302309835,5840.871748434812,5854.179852936695,19218.42106473091,100
f16_m4,256,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,195.01753807317044,191.55639378992552,166.21705222487802,165.84197592138847,211.3324182755639,206.88195849112623,274.56351702220877,300
f16_m4,512,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,214.10003278022222,192.88878171029492,321.4123088291781,326.74206541725704,243.01906872126642,222.29754687043243,284.39643977084916,300
f16_m4,1024,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,718.5357119865745,365.923291042068,1332.256102915058,1132.967623287937,727.0267557192801,476.46113262221104,534.0329388028886,300
f16_m4,2048,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,597.2446635342285,243.64563188242585,3561.0275463139865,3447.2676602219467,791.9935248973559,713.5677546071563,950.9738996988455,300
f16_m4,3072,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1381.592380646507,290.75562909054105,7716.454946439135,7652.322801003092,1451.8758941830301,1407.5056851397112,1904.754720976104,300
